state_po,year,legislature,court,independent_commission,other_commission,mid_term,CYCLE_YEAR,SEATS
HI,2004,0,0,0,1,0,2000,2
HI,2006,0,0,0,1,1,2000,2
HI,2008,0,0,0,1,0,2000,2
HI,2010,0,0,0,1,1,2000,2
HI,2012,0,0,0,1,0,2010,2
HI,2014,0,0,0,1,1,2010,2
HI,2016,0,0,0,1,0,2010,2
HI,2018,0,0,0,1,1,2010,2
HI,2020,0,0,0,1,0,2010,2
HI,2022,1,0,0,0,1,2020,2
IA,2002,1,0,0,0,1,2000,5
IA,2004,1,0,0,0,0,2000,5
IA,2006,1,0,0,0,1,2000,5
IA,2008,1,0,0,0,0,2000,5
IA,2010,1,0,0,0,1,2000,5
IA,2012,1,0,0,0,0,2010,4
IA,2014,1,0,0,0,1,2010,4
IA,2016,1,0,0,0,0,2010,4
IA,2018,1,0,0,0,1,2010,4
IA,2020,1,0,0,0,0,2010,4
IA,2022,1,0,0,0,1,2020,4
ID,2002,0,0,1,0,1,2000,2
ID,2004,0,0,1,0,0,2000,2
ID,2006,0,0,1,0,1,2000,2
ID,2008,0,0,1,0,0,2000,2
ID,2010,0,0,1,0,1,2000,2
ID,2012,0,0,1,0,0,2010,2
ID,2014,0,0,1,0,1,2010,2
ID,2016,0,0,1,0,0,2010,2
ID,2018,0,0,1,0,1,2010,2
ID,2020,0,0,1,0,0,2010,2
ID,2022,0,0,1,0,1,2020,2
IL,2002,1,0,0,0,1,2000,19
IL,2004,1,0,0,0,0,2000,19
IL,2006,1,0,0,0,1,2000,19
IL,2008,1,0,0,0,0,2000,19
IL,2010,1,0,0,0,1,2000,19
IL,2012,1,0,0,0,0,2010,18
IL,2014,1,0,0,0,1,2010,18
IL,2016,1,0,0,0,0,2010,18
IL,2018,1,0,0,0,1,2010,18
IL,2020,1,0,0,0,0,2010,18
IL,2022,1,0,0,0,1,2020,17
IN,2002,0,0,0,1,1,2000,9
IN,2004,0,0,0,1,0,2000,9
IN,2006,0,0,0,1,1,2000,9
IN,2008,0,0,0,1,0,2000,9
IN,2010,0,0,0,1,1,2000,9
IN,2012,1,0,0,0,0,2010,9
IN,2014,1,0,0,0,1,2010,9
IN,2016,1,0,0,0,0,2010,9
IN,2018,1,0,0,0,1,2010,9
IN,2020,1,0,0,0,0,2010,9
IN,2022,1,0,0,0,1,2020,9
KS,2002,1,0,0,0,1,2000,4
KS,2004,1,0,0,0,0,2000,4
KS,2006,1,0,0,0,1,2000,4
KS,2008,1,0,0,0,0,2000,4
KS,2010,1,0,0,0,1,2000,4
KS,2012,0,1,0,0,0,2010,4
KS,2014,0,1,0,0,1,2010,4
KS,2016,0,1,0,0,0,2010,4
KS,2018,0,1,0,0,1,2010,4
KS,2020,0,1,0,0,0,2010,4
KS,2022,1,0,0,0,1,2020,4
KY,2002,1,0,0,0,1,2000,6
KY,2004,1,0,0,0,0,2000,6
KY,2006,1,0,0,0,1,2000,6
KY,2008,1,0,0,0,0,2000,6
KY,2010,1,0,0,0,1,2000,6
KY,2012,1,0,0,0,0,2010,6
KY,2014,1,0,0,0,1,2010,6
KY,2016,1,0,0,0,0,2010,6
KY,2018,1,0,0,0,1,2010,6
KY,2020,1,0,0,0,0,2010,6
KY,2022,1,0,0,0,1,2020,6
LA,2002,1,0,0,0,1,2000,7
LA,2004,1,0,0,0,0,2000,7
LA,2006,1,0,0,0,1,2000,7
LA,2008,1,0,0,0,0,2000,7
LA,2010,1,0,0,0,1,2000,7
LA,2012,1,0,0,0,0,2010,6
LA,2014,1,0,0,0,1,2010,6
LA,2016,1,0,0,0,0,2010,6
LA,2018,1,0,0,0,1,2010,6
LA,2020,1,0,0,0,0,2010,6
LA,2022,1,0,0,0,1,2020,6
MA,2002,1,0,0,0,1,2000,10
MA,2004,1,0,0,0,0,2000,10
MA,2006,1,0,0,0,1,2000,10
MA,2008,1,0,0,0,0,2000,10
MA,2010,1,0,0,0,1,2000,10
MA,2012,1,0,0,0,0,2010,9
MA,2014,1,0,0,0,1,2010,9
MA,2016,1,0,0,0,0,2010,9
MA,2018,1,0,0,0,1,2010,9
MA,2020,1,0,0,0,0,2010,9
MA,2022,1,0,0,0,1,2020,9
MD,2002,1,0,0,0,1,2000,8
MD,2004,1,0,0,0,0,2000,8
MD,2006,1,0,0,0,1,2000,8
MD,2008,1,0,0,0,0,2000,8
MD,2010,1,0,0,0,1,2000,8
MD,2012,1,0,0,0,0,2010,8
MD,2014,1,0,0,0,1,2010,8
MD,2016,1,0,0,0,0,2010,8
MD,2018,1,0,0,0,1,2010,8
MD,2020,1,0,0,0,0,2010,8
MD,2022,1,0,0,0,1,2020,8
ME,2002,0,1,0,0,1,2000,2
ME,2004,0,1,0,0,0,2000,2
ME,2006,0,1,0,0,1,2000,2
ME,2008,0,1,0,0,0,2000,2
ME,2010,0,1,0,0,1,2000,2
ME,2012,1,0,0,0,0,2010,2
ME,2014,1,0,0,0,1,2010,2
ME,2016,1,0,0,0,0,2010,2
ME,2018,1,0,0,0,1,2010,2
ME,2020,1,0,0,0,0,2010,2
ME,2022,1,0,0,0,1,2020,2
MI,2002,1,0,0,0,1,2000,15
MI,2004,1,0,0,0,0,2000,15
MI,2006,1,0,0,0,1,2000,15
MI,2008,1,0,0,0,0,2000,15
MI,2010,1,0,0,0,1,2000,15
MI,2012,1,0,0,0,0,2010,14
MI,2014,1,0,0,0,1,2010,14
MI,2016,1,0,0,0,0,2010,14
MI,2018,1,0,0,0,1,2010,14
MI,2020,1,0,0,0,0,2010,14
MI,2022,0,0,1,0,1,2020,13
MN,2002,0,1,0,0,1,2000,8
MN,2004,0,1,0,0,0,2000,8
MN,2006,0,1,0,0,1,2000,8
MN,2008,0,1,0,0,0,2000,8
MN,2010,0,1,0,0,1,2000,8
MN,2012,0,1,0,0,0,2010,8
MN,2014,0,1,0,0,1,2010,8
MN,2016,0,1,0,0,0,2010,8
MN,2018,0,1,0,0,1,2010,8
MN,2020,0,1,0,0,0,2010,8
MN,2022,0,1,0,0,1,2020,7
MO,2002,1,0,0,0,1,2000,9
MO,2004,1,0,0,0,0,2000,9
MO,2006,1,0,0,0,1,2000,9
MO,2008,1,0,0,0,0,2000,9
MO,2010,1,0,0,0,1,2000,9
MO,2012,1,0,0,0,0,2010,8
MO,2014,1,0,0,0,1,2010,8
MO,2016,1,0,0,0,0,2010,8
MO,2018,1,0,0,0,1,2010,8
MO,2020,1,0,0,0,0,2010,8
MO,2022,1,0,0,0,1,2020,8
MS,2002,0,1,0,0,1,2000,4
MS,2004,0,1,0,0,0,2000,4
MS,2006,0,1,0,0,1,2000,4
MS,2008,0,1,0,0,0,2000,4
MS,2010,0,1,0,0,1,2000,4
MS,2012,0,1,0,0,0,2010,4
MS,2014,0,1,0,0,1,2010,4
MS,2016,0,1,0,0,0,2010,4
MS,2018,0,1,0,0,1,2010,4
MS,2020,0,1,0,0,0,2010,4
MS,2022,1,0,0,0,1,2020,4
MT,2002,0,0,0,0,1,2000,1
MT,2004,0,0,0,0,0,2000,1
MT,2006,0,0,0,0,1,2000,1
MT,2008,0,0,0,0,0,2000,1
MT,2010,0,0,0,0,1,2000,1
MT,2012,0,0,0,0,0,2010,1
MT,2014,0,0,0,0,1,2010,1
MT,2016,0,0,0,0,0,2010,1
MT,2018,0,0,0,0,1,2010,1
MT,2020,0,0,0,0,0,2010,1
MT,2022,0,0,1,0,1,2020,2
NC,2002,1,0,0,0,1,2000,13
NC,2004,1,0,0,0,0,2000,13
NC,2006,1,0,0,0,1,2000,13
NC,2008,1,0,0,0,0,2000,13
NC,2010,1,0,0,0,1,2000,13
NC,2012,1,0,0,0,0,2010,13
NC,2014,1,0,0,0,1,2010,13
NC,2016,1,0,0,0,0,2010,13
NC,2018,1,0,0,0,1,2010,13
NC,2020,1,0,0,0,0,2010,13
NC,2022,0,1,0,0,1,2020,14
ND,2002,0,0,0,0,1,2000,1
ND,2004,0,0,0,0,0,2000,1
ND,2006,0,0,0,0,1,2000,1
ND,2008,0,0,0,0,0,2000,1
ND,2010,0,0,0,0,1,2000,1
ND,2012,0,0,0,0,0,2010,1
ND,2014,0,0,0,0,1,2010,1
ND,2016,0,0,0,0,0,2010,1
ND,2018,0,0,0,0,1,2010,1
ND,2020,0,0,0,0,0,2010,1
ND,2022,0,0,0,0,1,2020,1
NE,2002,1,0,0,0,1,2000,3
NE,2004,1,0,0,0,0,2000,3
NE,2006,1,0,0,0,1,2000,3
NE,2008,1,0,0,0,0,2000,3
NE,2010,1,0,0,0,1,2000,3
NE,2012,1,0,0,0,0,2010,3
NE,2014,1,0,0,0,1,2010,3
NE,2016,1,0,0,0,0,2010,3
NE,2018,1,0,0,0,1,2010,3
NE,2020,1,0,0,0,0,2010,3
NE,2022,1,0,0,0,1,2020,3
NH,2002,1,0,0,0,1,2000,2
NH,2004,1,0,0,0,0,2000,2
NH,2006,1,0,0,0,1,2000,2
NH,2008,1,0,0,0,0,2000,2
NH,2010,1,0,0,0,1,2000,2
NH,2012,1,0,0,0,0,2010,2
NH,2014,1,0,0,0,1,2010,2
NH,2016,1,0,0,0,0,2010,2
NH,2018,1,0,0,0,1,2010,2
NH,2020,1,0,0,0,0,2010,2
NH,2022,1,0,0,0,1,2020,2
NJ,2002,0,0,0,1,1,2000,13
NJ,2004,0,0,0,1,0,2000,13
NJ,2006,0,0,0,1,1,2000,13
NJ,2008,0,0,0,1,0,2000,13
NJ,2010,0,0,0,1,1,2000,13
NJ,2012,0,0,0,1,0,2010,12
NJ,2014,0,0,0,1,1,2010,12
NJ,2016,0,0,0,1,0,2010,12
NJ,2018,0,0,0,1,1,2010,12
NJ,2020,0,0,0,1,0,2010,12
NJ,2022,0,0,0,1,1,2020,12
NM,2002,0,1,0,0,1,2000,3
NM,2004,0,1,0,0,0,2000,3
NM,2006,0,1,0,0,1,2000,3
NM,2008,0,1,0,0,0,2000,3
NM,2010,0,1,0,0,1,2000,3
NM,2012,0,1,0,0,0,2010,3
NM,2014,0,1,0,0,1,2010,3
NM,2016,0,1,0,0,0,2010,3
NM,2018,0,1,0,0,1,2010,3
NM,2020,0,1,0,0,0,2010,3
NM,2022,1,0,0,0,1,2020,3
NV,2002,1,0,0,0,1,2000,3
NV,2004,1,0,0,0,0,2000,3
NV,2006,1,0,0,0,1,2000,3
NV,2008,1,0,0,0,0,2000,3
NV,2010,1,0,0,0,1,2000,3
NV,2012,0,1,0,0,0,2010,4
NV,2014,0,1,0,0,1,2010,4
NV,2016,0,1,0,0,0,2010,4
NV,2018,0,1,0,0,1,2010,4
NV,2020,0,1,0,0,0,2010,4
NV,2022,1,0,0,0,1,2020,4
NY,2002,1,0,0,0,1,2000,29
NY,2004,1,0,0,0,0,2000,29
NY,2006,1,0,0,0,1,2000,29
NY,2008,1,0,0,0,0,2000,29
NY,2010,1,0,0,0,1,2000,29
NY,2012,0,1,0,0,0,2010,27
NY,2014,0,1,0,0,1,2010,27
NY,2016,0,1,0,0,0,2010,27
NY,2018,0,1,0,0,1,2010,27
NY,2020,0,1,0,0,0,2010,27
NY,2022,1,0,0,0,1,2020,26
OH,2002,1,0,0,0,1,2000,18
OH,2004,1,0,0,0,0,2000,18
OH,2006,1,0,0,0,1,2000,18
OH,2008,1,0,0,0,0,2000,18
OH,2010,1,0,0,0,1,2000,18
OH,2012,1,0,0,0,0,2010,16
OH,2014,1,0,0,0,1,2010,16
OH,2016,1,0,0,0,0,2010,16
OH,2018,1,0,0,0,1,2010,16
OH,2020,1,0,0,0,0,2010,16
OH,2022,1,0,0,0,1,2020,15
OK,2002,0,1,0,0,1,2000,5
OK,2004,0,1,0,0,0,2000,5
OK,2006,0,1,0,0,1,2000,5
OK,2008,0,1,0,0,0,2000,5
OK,2010,0,1,0,0,1,2000,5
OK,2012,1,0,0,0,0,2010,5
OK,2014,1,0,0,0,1,2010,5
OK,2016,1,0,0,0,0,2010,5
OK,2018,1,0,0,0,1,2010,5
OK,2020,1,0,0,0,0,2010,5
OK,2022,1,0,0,0,1,2020,5
OR,2002,0,1,0,0,1,2000,5
OR,2004,0,1,0,0,0,2000,5
OR,2006,0,1,0,0,1,2000,5
OR,2008,0,1,0,0,0,2000,5
OR,2010,0,1,0,0,1,2000,5
OR,2012,1,0,0,0,0,2010,5
OR,2014,1,0,0,0,1,2010,5
OR,2016,1,0,0,0,0,2010,5
OR,2018,1,0,0,0,1,2010,5
OR,2020,1,0,0,0,0,2010,5
OR,2022,1,0,0,0,1,2020,6
PA,2002,1,0,0,0,1,2000,19
PA,2004,1,0,0,0,0,2000,19
PA,2006,1,0,0,0,1,2000,19
PA,2008,1,0,0,0,0,2000,19
PA,2010,1,0,0,0,1,2000,19
PA,2012,1,0,0,0,0,2010,18
PA,2014,1,0,0,0,1,2010,18
PA,2016,1,0,0,0,0,2010,18
PA,2018,0,1,0,0,1,2010,18
PA,2020,0,1,0,0,0,2010,18
PA,2022,0,1,0,0,1,2020,17
RI,2002,1,0,0,0,1,2000,2
RI,2004,1,0,0,0,0,2000,2
RI,2006,1,0,0,0,1,2000,2
RI,2008,1,0,0,0,0,2000,2
RI,2010,1,0,0,0,1,2000,2
RI,2012,1,0,0,0,0,2010,2
RI,2014,1,0,0,0,1,2010,2
RI,2016,1,0,0,0,0,2010,2
RI,2018,1,0,0,0,1,2010,2
RI,2020,1,0,0,0,0,2010,2
RI,2022,1,0,0,0,1,2020,2
SC,2002,0,1,0,0,1,2000,6
SC,2004,0,1,0,0,0,2000,6
SC,2006,0,1,0,0,1,2000,6
SC,2008,0,1,0,0,0,2000,6
SC,2010,0,1,0,0,1,2000,6
SC,2012,1,0,0,0,0,2010,7
SC,2014,1,0,0,0,1,2010,7
SC,2016,1,0,0,0,0,2010,7
SC,2018,1,0,0,0,1,2010,7
SC,2020,1,0,0,0,0,2010,7
SC,2022,1,0,0,0,1,2020,7
SD,2002,0,0,0,0,1,2000,1
SD,2004,0,0,0,0,0,2000,1
SD,2006,0,0,0,0,1,2000,1
SD,2008,0,0,0,0,0,2000,1
SD,2010,0,0,0,0,1,2000,1
SD,2012,0,0,0,0,0,2010,1
SD,2014,0,0,0,0,1,2010,1
SD,2016,0,0,0,0,0,2010,1
SD,2018,0,0,0,0,1,2010,1
SD,2020,0,0,0,0,0,2010,1
SD,2022,0,0,0,0,1,2020,1
TN,2002,1,0,0,0,1,2000,9
TN,2004,1,0,0,0,0,2000,9
TN,2006,1,0,0,0,1,2000,9
TN,2008,1,0,0,0,0,2000,9
TN,2010,1,0,0,0,1,2000,9
TN,2012,1,0,0,0,0,2010,9
TN,2014,1,0,0,0,1,2010,9
TN,2016,1,0,0,0,0,2010,9
TN,2018,1,0,0,0,1,2010,9
TN,2020,1,0,0,0,0,2010,9
TN,2022,1,0,0,0,1,2020,9
TX,2002,0,1,0,0,1,2000,32
TX,2004,1,0,0,0,0,2000,32
TX,2006,0,1,0,0,1,2000,32
TX,2008,0,1,0,0,0,2000,32
TX,2010,0,1,0,0,1,2000,32
TX,2012,0,1,0,0,0,2010,36
TX,2014,0,1,0,0,1,2010,36
TX,2016,0,1,0,0,0,2010,36
TX,2018,0,1,0,0,1,2010,36
TX,2020,0,1,0,0,0,2010,36
TX,2022,1,0,0,0,1,2020,38
UT,2002,1,0,0,0,1,2000,3
UT,2004,1,0,0,0,0,2000,3
UT,2006,1,0,0,0,1,2000,3
UT,2008,1,0,0,0,0,2000,3
UT,2010,1,0,0,0,1,2000,3
UT,2012,1,0,0,0,0,2010,4
UT,2014,1,0,0,0,1,2010,4
UT,2016,1,0,0,0,0,2010,4
UT,2018,1,0,0,0,1,2010,4
UT,2020,1,0,0,0,0,2010,4
UT,2022,1,0,0,0,1,2020,4
VA,2002,1,0,0,0,1,2000,11
VA,2004,1,0,0,0,0,2000,11
VA,2006,1,0,0,0,1,2000,11
VA,2008,1,0,0,0,0,2000,11
VA,2010,1,0,0,0,1,2000,11
VA,2012,1,0,0,0,0,2010,11
VA,2014,1,0,0,0,1,2010,11
VA,2016,0,1,0,0,0,2010,11
VA,2018,0,1,0,0,1,2010,11
VA,2020,0,1,0,0,0,2010,11
VA,2022,0,1,0,0,1,2020,11
VT,2002,0,0,0,0,1,2000,1
VT,2004,0,0,0,0,0,2000,1
VT,2006,0,0,0,0,1,2000,1
VT,2008,0,0,0,0,0,2000,1
VT,2010,0,0,0,0,1,2000,1
VT,2012,0,0,0,0,0,2010,1
VT,2014,0,0,0,0,1,2010,1
VT,2016,0,0,0,0,0,2010,1
VT,2018,0,0,0,0,1,2010,1
VT,2020,0,0,0,0,0,2010,1
VT,2022,0,0,0,0,1,2020,1
WA,2002,0,0,1,0,1,2000,9
WA,2004,0,0,1,0,0,2000,9
WA,2006,0,0,1,0,1,2000,9
WA,2008,0,0,1,0,0,2000,9
WA,2010,0,0,1,0,1,2000,9
WA,2012,0,0,1,0,0,2010,10
WA,2014,0,0,1,0,1,2010,10
WA,2016,0,0,1,0,0,2010,10
WA,2018,0,0,1,0,1,2010,10
WA,2020,0,0,1,0,0,2010,10
WA,2022,0,0,1,0,1,2020,10
WI,2002,1,0,0,0,1,2000,8
WI,2004,1,0,0,0,0,2000,8
WI,2006,1,0,0,0,1,2000,8
WI,2008,1,0,0,0,0,2000,8
WI,2010,1,0,0,0,1,2000,8
WI,2012,1,0,0,0,0,2010,8
WI,2014,1,0,0,0,1,2010,8
WI,2016,1,0,0,0,0,2010,8
WI,2018,1,0,0,0,1,2010,8
WI,2020,1,0,0,0,0,2010,8
WI,2022,0,1,0,0,1,2020,8
WV,2002,1,0,0,0,1,2000,3
WV,2004,1,0,0,0,0,2000,3
WV,2006,1,0,0,0,1,2000,3
WV,2008,1,0,0,0,0,2000,3
WV,2010,1,0,0,0,1,2000,3
WV,2012,1,0,0,0,0,2010,3
WV,2014,1,0,0,0,1,2010,3
WV,2016,1,0,0,0,0,2010,3
WV,2018,1,0,0,0,1,2010,3
WV,2020,1,0,0,0,0,2010,3
WV,2022,1,0,0,0,1,2020,2
WY,2002,0,0,0,0,1,2000,1
WY,2004,0,0,0,0,0,2000,1
WY,2006,0,0,0,0,1,2000,1
WY,2008,0,0,0,0,0,2000,1
WY,2010,0,0,0,0,1,2000,1
WY,2012,0,0,0,0,0,2010,1
WY,2014,0,0,0,0,1,2010,1
WY,2016,0,0,0,0,0,2010,1
WY,2018,0,0,0,0,1,2010,1
WY,2020,0,0,0,0,0,2010,1
WY,2022,0,0,0,0,1,2020,1
