STATE,mid_term,election_year,CYCLE_YEAR,legislature,court,independent_commission,other_commission,SEATS,midcycle_change,PASSED,START_DATE,END_DATE,DRAWN_BY_FINAL,DRAWN_BY_ORIGINAL,PARTY_DRAWING,PARTY_CONTROL,GOVERNOR,COURT_ACTION,PLAN_STATUS,governor_drawing_split,INSTITUTION_NOTE,UPPER_HOUSE,LOWER_HOUSE,link_SHPsource,link_GeoJSON,link_ZIP,link_PDF
AL,0,2008,2000,1,0,0,0,7,0,1/31/2002,3/4/2002,11/21/2011,Legislature,Legislature,Democratic,Democratic,Democratic,,Superseded,0,Vetoproof,"24 D, 11 R","67 D, 38 R",,al_2000_congress_2002-03-04_2011-11-21.json,al_2000_congress_2002-03-04_2011-11-21.zip,al_2000_congress_2002-03-04_2011-11-21.pdf
AL,1,2010,2000,1,0,0,0,7,0,1/31/2002,3/4/2002,11/21/2011,Legislature,Legislature,Democratic,Democratic,Democratic,,Superseded,0,Vetoproof,"24 D, 11 R","67 D, 38 R",,al_2000_congress_2002-03-04_2011-11-21.json,al_2000_congress_2002-03-04_2011-11-21.zip,al_2000_congress_2002-03-04_2011-11-21.pdf
AL,0,2012,2010,1,0,0,0,7,0,6/8/2011,11/21/2011,12/31/2021,Legislature,Legislature,Republican,Republican,Republican,Rejected challenge to leg. map,Active,0,Vetoproof,"12 D, 22 R","39 D, 66 R",https://opendata.arcgis.com/datasets/dec0726335904328967867efeebe4b50_0.zip,al_2010_congress_2011-11-21_2021-12-31.json,al_2010_congress_2011-11-21_2021-12-31.zip,al_2010_congress_2011-11-21_2021-12-31.pdf
AL,1,2014,2010,1,0,0,0,7,0,6/8/2011,11/21/2011,12/31/2021,Legislature,Legislature,Republican,Republican,Republican,Rejected challenge to leg. map,Active,0,Vetoproof,"12 D, 22 R","39 D, 66 R",https://opendata.arcgis.com/datasets/dec0726335904328967867efeebe4b50_0.zip,al_2010_congress_2011-11-21_2021-12-31.json,al_2010_congress_2011-11-21_2021-12-31.zip,al_2010_congress_2011-11-21_2021-12-31.pdf
AL,0,2016,2010,1,0,0,0,7,0,6/8/2011,11/21/2011,12/31/2021,Legislature,Legislature,Republican,Republican,Republican,Rejected challenge to leg. map,Active,0,Vetoproof,"12 D, 22 R","39 D, 66 R",https://opendata.arcgis.com/datasets/dec0726335904328967867efeebe4b50_0.zip,al_2010_congress_2011-11-21_2021-12-31.json,al_2010_congress_2011-11-21_2021-12-31.zip,al_2010_congress_2011-11-21_2021-12-31.pdf
AL,1,2018,2010,1,0,0,0,7,0,6/8/2011,11/21/2011,12/31/2021,Legislature,Legislature,Republican,Republican,Republican,Rejected challenge to leg. map,Active,0,Vetoproof,"12 D, 22 R","39 D, 66 R",https://opendata.arcgis.com/datasets/dec0726335904328967867efeebe4b50_0.zip,al_2010_congress_2011-11-21_2021-12-31.json,al_2010_congress_2011-11-21_2021-12-31.zip,al_2010_congress_2011-11-21_2021-12-31.pdf
AL,0,2020,2010,1,0,0,0,7,0,6/8/2011,11/21/2011,12/31/2021,Legislature,Legislature,Republican,Republican,Republican,Rejected challenge to leg. map,Active,0,Vetoproof,"12 D, 22 R","39 D, 66 R",https://opendata.arcgis.com/datasets/dec0726335904328967867efeebe4b50_0.zip,al_2010_congress_2011-11-21_2021-12-31.json,al_2010_congress_2011-11-21_2021-12-31.zip,al_2010_congress_2011-11-21_2021-12-31.pdf
AL,1,2022,2020,1,0,0,0,6,0,11/4/2021,11/4/2021,6/30/2031,Legislature,Legislature,Republican,Republican,Republican,court sent map back to legislature,In litigation,0,Vetoproof,"8 D, 27 R","28 D, 75 R",,al_2020_congress_2021-11-04_2031-06-30.json,al_2020_congress_2021-11-04_2031-06-30.zip,al_2020_congress_2021-11-04_2031-06-30.pdf
AR,1,2002,2000,1,0,0,0,4,0,4/20/2001,4/20/2001,4/14/2011,Legislature,Legislature,Democratic,Democratic,Republican,,Superseded,1,Vetoproof,"27 D, 8 R","70 D, 30 R",,ar_2000_congress_2001-04-20_2011-04-14.json,ar_2000_congress_2001-04-20_2011-04-14.zip,ar_2000_congress_2001-04-20_2011-04-14.pdf
AR,0,2004,2000,1,0,0,0,4,0,4/20/2001,4/20/2001,4/14/2011,Legislature,Legislature,Democratic,Democratic,Republican,,Superseded,1,Vetoproof,"27 D, 8 R","70 D, 30 R",,ar_2000_congress_2001-04-20_2011-04-14.json,ar_2000_congress_2001-04-20_2011-04-14.zip,ar_2000_congress_2001-04-20_2011-04-14.pdf
AR,1,2006,2000,1,0,0,0,4,0,4/20/2001,4/20/2001,4/14/2011,Legislature,Legislature,Democratic,Democratic,Republican,,Superseded,1,Vetoproof,"27 D, 8 R","70 D, 30 R",,ar_2000_congress_2001-04-20_2011-04-14.json,ar_2000_congress_2001-04-20_2011-04-14.zip,ar_2000_congress_2001-04-20_2011-04-14.pdf
AR,0,2008,2000,1,0,0,0,4,0,4/20/2001,4/20/2001,4/14/2011,Legislature,Legislature,Democratic,Democratic,Republican,,Superseded,1,Vetoproof,"27 D, 8 R","70 D, 30 R",,ar_2000_congress_2001-04-20_2011-04-14.json,ar_2000_congress_2001-04-20_2011-04-14.zip,ar_2000_congress_2001-04-20_2011-04-14.pdf
AR,1,2010,2000,1,0,0,0,4,0,4/20/2001,4/20/2001,4/14/2011,Legislature,Legislature,Democratic,Democratic,Republican,,Superseded,1,Vetoproof,"27 D, 8 R","70 D, 30 R",,ar_2000_congress_2001-04-20_2011-04-14.json,ar_2000_congress_2001-04-20_2011-04-14.zip,ar_2000_congress_2001-04-20_2011-04-14.pdf
AR,0,2012,2010,1,0,0,0,4,0,4/14/2011,4/14/2011,12/31/2021,Legislature,Legislature,Democratic,Democratic,Democratic,Rejected challenge to leg. map,Active,0,,"20 D, 15 R","55 D, 44 R, 1 O",https://gis.arkansas.gov/product/2011-arkansas-congressional-districts/,ar_2010_congress_2011-04-14_2021-12-31.json,ar_2010_congress_2011-04-14_2021-12-31.zip,ar_2010_congress_2011-04-14_2021-12-31.pdf
AR,1,2014,2010,1,0,0,0,4,0,4/14/2011,4/14/2011,12/31/2021,Legislature,Legislature,Democratic,Democratic,Democratic,Rejected challenge to leg. map,Active,0,,"20 D, 15 R","55 D, 44 R, 1 O",https://gis.arkansas.gov/product/2011-arkansas-congressional-districts/,ar_2010_congress_2011-04-14_2021-12-31.json,ar_2010_congress_2011-04-14_2021-12-31.zip,ar_2010_congress_2011-04-14_2021-12-31.pdf
AR,0,2016,2010,1,0,0,0,4,0,4/14/2011,4/14/2011,12/31/2021,Legislature,Legislature,Democratic,Democratic,Democratic,Rejected challenge to leg. map,Active,0,,"20 D, 15 R","55 D, 44 R, 1 O",https://gis.arkansas.gov/product/2011-arkansas-congressional-districts/,ar_2010_congress_2011-04-14_2021-12-31.json,ar_2010_congress_2011-04-14_2021-12-31.zip,ar_2010_congress_2011-04-14_2021-12-31.pdf
AR,1,2018,2010,1,0,0,0,4,0,4/14/2011,4/14/2011,12/31/2021,Legislature,Legislature,Democratic,Democratic,Democratic,Rejected challenge to leg. map,Active,0,,"20 D, 15 R","55 D, 44 R, 1 O",https://gis.arkansas.gov/product/2011-arkansas-congressional-districts/,ar_2010_congress_2011-04-14_2021-12-31.json,ar_2010_congress_2011-04-14_2021-12-31.zip,ar_2010_congress_2011-04-14_2021-12-31.pdf
AR,0,2020,2010,1,0,0,0,4,0,4/14/2011,4/14/2011,12/31/2021,Legislature,Legislature,Democratic,Democratic,Democratic,Rejected challenge to leg. map,Active,0,,"20 D, 15 R","55 D, 44 R, 1 O",https://gis.arkansas.gov/product/2011-arkansas-congressional-districts/,ar_2010_congress_2011-04-14_2021-12-31.json,ar_2010_congress_2011-04-14_2021-12-31.zip,ar_2010_congress_2011-04-14_2021-12-31.pdf
AR,1,2022,2020,1,0,0,0,4,0,10/7/2021,1/14/2022,6/30/2031,Legislature,Legislature,Republican,Republican,Republican,,In litigation,0,Vetoproof,"7 D, 28 R","22 D, 78 R",,ar_2020_congress_2022-01-14_2031-06-30.json,ar_2020_congress_2022-01-14_2031-06-30.zip,ar_2020_congress_2022-01-14_2031-06-30.pdf
AZ,1,2002,2000,0,0,1,0,8,0,11/3/2001,3/26/2002,4/9/2012,Independent commission,Independent commission,Split,Split,Republican,rejected challenge to commission map,Superseded,0,,"15 D, 15 R","24 D, 36 R",https://azredistricting.org/2001/Final/congfinal_shp.zip,az_2000_congress_2002-03-26_2012-04-09.json,az_2000_congress_2002-03-26_2012-04-09.zip,az_2000_congress_2002-03-26_2012-04-09.pdf
AZ,0,2004,2000,0,0,1,0,8,0,11/3/2001,3/26/2002,4/9/2012,Independent commission,Independent commission,Split,Split,Republican,rejected challenge to commission map,Superseded,0,,"15 D, 15 R","24 D, 36 R",https://azredistricting.org/2001/Final/congfinal_shp.zip,az_2000_congress_2002-03-26_2012-04-09.json,az_2000_congress_2002-03-26_2012-04-09.zip,az_2000_congress_2002-03-26_2012-04-09.pdf
AZ,1,2006,2000,0,0,1,0,8,0,11/3/2001,3/26/2002,4/9/2012,Independent commission,Independent commission,Split,Split,Republican,rejected challenge to commission map,Superseded,0,,"15 D, 15 R","24 D, 36 R",https://azredistricting.org/2001/Final/congfinal_shp.zip,az_2000_congress_2002-03-26_2012-04-09.json,az_2000_congress_2002-03-26_2012-04-09.zip,az_2000_congress_2002-03-26_2012-04-09.pdf
AZ,0,2008,2000,0,0,1,0,8,0,11/3/2001,3/26/2002,4/9/2012,Independent commission,Independent commission,Split,Split,Republican,rejected challenge to commission map,Superseded,0,,"15 D, 15 R","24 D, 36 R",https://azredistricting.org/2001/Final/congfinal_shp.zip,az_2000_congress_2002-03-26_2012-04-09.json,az_2000_congress_2002-03-26_2012-04-09.zip,az_2000_congress_2002-03-26_2012-04-09.pdf
AZ,1,2010,2000,0,0,1,0,8,0,11/3/2001,3/26/2002,4/9/2012,Independent commission,Independent commission,Split,Split,Republican,rejected challenge to commission map,Superseded,0,,"15 D, 15 R","24 D, 36 R",https://azredistricting.org/2001/Final/congfinal_shp.zip,az_2000_congress_2002-03-26_2012-04-09.json,az_2000_congress_2002-03-26_2012-04-09.zip,az_2000_congress_2002-03-26_2012-04-09.pdf
AZ,0,2012,2010,0,0,1,0,9,0,1/17/2012,4/9/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Republican,Rejected challenge to commission map,Active,0,,"9 D, 21 R","20 D, 40 R",https://azredistricting.org/Maps/Final-Maps/Congressional/Data/Final_Congressional_Districts-shp.zip,az_2010_congress_2012-04-09_2021-12-31.json,az_2010_congress_2012-04-09_2021-12-31.zip,az_2010_congress_2012-04-09_2021-12-31.pdf
AZ,1,2014,2010,0,0,1,0,9,0,1/17/2012,4/9/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Republican,Rejected challenge to commission map,Active,0,,"9 D, 21 R","20 D, 40 R",https://azredistricting.org/Maps/Final-Maps/Congressional/Data/Final_Congressional_Districts-shp.zip,az_2010_congress_2012-04-09_2021-12-31.json,az_2010_congress_2012-04-09_2021-12-31.zip,az_2010_congress_2012-04-09_2021-12-31.pdf
AZ,0,2016,2010,0,0,1,0,9,0,1/17/2012,4/9/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Republican,Rejected challenge to commission map,Active,0,,"9 D, 21 R","20 D, 40 R",https://azredistricting.org/Maps/Final-Maps/Congressional/Data/Final_Congressional_Districts-shp.zip,az_2010_congress_2012-04-09_2021-12-31.json,az_2010_congress_2012-04-09_2021-12-31.zip,az_2010_congress_2012-04-09_2021-12-31.pdf
AZ,1,2018,2010,0,0,1,0,9,0,1/17/2012,4/9/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Republican,Rejected challenge to commission map,Active,0,,"9 D, 21 R","20 D, 40 R",https://azredistricting.org/Maps/Final-Maps/Congressional/Data/Final_Congressional_Districts-shp.zip,az_2010_congress_2012-04-09_2021-12-31.json,az_2010_congress_2012-04-09_2021-12-31.zip,az_2010_congress_2012-04-09_2021-12-31.pdf
AZ,0,2020,2010,0,0,1,0,9,0,1/17/2012,4/9/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Republican,Rejected challenge to commission map,Active,0,,"9 D, 21 R","20 D, 40 R",https://azredistricting.org/Maps/Final-Maps/Congressional/Data/Final_Congressional_Districts-shp.zip,az_2010_congress_2012-04-09_2021-12-31.json,az_2010_congress_2012-04-09_2021-12-31.zip,az_2010_congress_2012-04-09_2021-12-31.pdf
AZ,1,2022,2020,0,0,1,0,9,0,12/22/2021,12/22/2021,6/30/2031,Independent commission,Independent commission,Nonpartisan,Split,Republican,,Active,0,,"14 D, 16 R","29 D, 31 R",,az_2020_congress_2021-12-22_2031-06-30.json,az_2020_congress_2021-12-22_2031-06-30.zip,az_2020_congress_2021-12-22_2031-06-30.pdf
CA,1,2002,2000,1,0,0,0,53,0,9/26/2001,11/30/2001,1/17/2012,Legislature,Legislature,Democratic,Democratic,Democratic,rejected challenge to leg. map,Superseded,0,,"26 D, 14 R","50 D, 30 R",https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip,ca_2000_congress_2001-11-30_2012-01-17.json,ca_2000_congress_2001-11-30_2012-01-17.zip,ca_2000_congress_2001-11-30_2012-01-17.pdf
CA,0,2004,2000,1,0,0,0,53,0,9/26/2001,11/30/2001,1/17/2012,Legislature,Legislature,Democratic,Democratic,Democratic,rejected challenge to leg. map,Superseded,0,,"26 D, 14 R","50 D, 30 R",https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip,ca_2000_congress_2001-11-30_2012-01-17.json,ca_2000_congress_2001-11-30_2012-01-17.zip,ca_2000_congress_2001-11-30_2012-01-17.pdf
CA,1,2006,2000,1,0,0,0,53,0,9/26/2001,11/30/2001,1/17/2012,Legislature,Legislature,Democratic,Democratic,Democratic,rejected challenge to leg. map,Superseded,0,,"26 D, 14 R","50 D, 30 R",https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip,ca_2000_congress_2001-11-30_2012-01-17.json,ca_2000_congress_2001-11-30_2012-01-17.zip,ca_2000_congress_2001-11-30_2012-01-17.pdf
CA,0,2008,2000,1,0,0,0,53,0,9/26/2001,11/30/2001,1/17/2012,Legislature,Legislature,Democratic,Democratic,Democratic,rejected challenge to leg. map,Superseded,0,,"26 D, 14 R","50 D, 30 R",https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip,ca_2000_congress_2001-11-30_2012-01-17.json,ca_2000_congress_2001-11-30_2012-01-17.zip,ca_2000_congress_2001-11-30_2012-01-17.pdf
CA,1,2010,2000,1,0,0,0,53,0,9/26/2001,11/30/2001,1/17/2012,Legislature,Legislature,Democratic,Democratic,Democratic,rejected challenge to leg. map,Superseded,0,,"26 D, 14 R","50 D, 30 R",https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip,ca_2000_congress_2001-11-30_2012-01-17.json,ca_2000_congress_2001-11-30_2012-01-17.zip,ca_2000_congress_2001-11-30_2012-01-17.pdf
CA,0,2012,2010,0,0,1,0,53,0,8/15/2011,1/17/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Democratic,Rejected challenge to commission map,Active,0,,"25 D, 15 R","52 D, 28 R",https://wedrawthelines.ca.gov/wp-content/uploads/sites/64/2011/08/viz_20110728_q2_cd_finaldraft_shp.zip,ca_2010_congress_2012-01-17_2021-12-31.json,ca_2010_congress_2012-01-17_2021-12-31.zip,ca_2010_congress_2012-01-17_2021-12-31.pdf
CA,1,2014,2010,0,0,1,0,53,0,8/15/2011,1/17/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Democratic,Rejected challenge to commission map,Active,0,,"25 D, 15 R","52 D, 28 R",https://wedrawthelines.ca.gov/wp-content/uploads/sites/64/2011/08/viz_20110728_q2_cd_finaldraft_shp.zip,ca_2010_congress_2012-01-17_2021-12-31.json,ca_2010_congress_2012-01-17_2021-12-31.zip,ca_2010_congress_2012-01-17_2021-12-31.pdf
CA,0,2016,2010,0,0,1,0,53,0,8/15/2011,1/17/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Democratic,Rejected challenge to commission map,Active,0,,"25 D, 15 R","52 D, 28 R",https://wedrawthelines.ca.gov/wp-content/uploads/sites/64/2011/08/viz_20110728_q2_cd_finaldraft_shp.zip,ca_2010_congress_2012-01-17_2021-12-31.json,ca_2010_congress_2012-01-17_2021-12-31.zip,ca_2010_congress_2012-01-17_2021-12-31.pdf
CA,1,2018,2010,0,0,1,0,53,0,8/15/2011,1/17/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Democratic,Rejected challenge to commission map,Active,0,,"25 D, 15 R","52 D, 28 R",https://wedrawthelines.ca.gov/wp-content/uploads/sites/64/2011/08/viz_20110728_q2_cd_finaldraft_shp.zip,ca_2010_congress_2012-01-17_2021-12-31.json,ca_2010_congress_2012-01-17_2021-12-31.zip,ca_2010_congress_2012-01-17_2021-12-31.pdf
CA,0,2020,2010,0,0,1,0,53,0,8/15/2011,1/17/2012,12/31/2021,Independent commission,Independent commission,Split,Split,Democratic,Rejected challenge to commission map,Active,0,,"25 D, 15 R","52 D, 28 R",https://wedrawthelines.ca.gov/wp-content/uploads/sites/64/2011/08/viz_20110728_q2_cd_finaldraft_shp.zip,ca_2010_congress_2012-01-17_2021-12-31.json,ca_2010_congress_2012-01-17_2021-12-31.zip,ca_2010_congress_2012-01-17_2021-12-31.pdf
CA,1,2022,2020,0,0,1,0,52,0,12/26/2021,12/26/2021,6/30/2031,Independent commission,Independent commission,Nonpartisan,Split,Democratic,,Active,0,,"31 D, 9 R","60 D, 19 R, 1 O",,ca_2020_congress_2021-12-26_2031-06-30.json,ca_2020_congress_2021-12-26_2031-06-30.zip,ca_2020_congress_2021-12-26_2031-06-30.pdf
CO,1,2002,2000,0,1,0,0,7,0,1/25/2002,1/25/2002,11/10/2011,State court,Legislature,n/a,Split,Republican,court drew map (not legislature),Superseded,0,,"18 D, 17 R","28 D, 37 R",,co_2000_congress_2002-01-25_2011-11-10.json,co_2000_congress_2002-01-25_2011-11-10.zip,co_2000_congress_2002-01-25_2011-11-10.pdf
CO,0,2004,2000,0,1,0,0,7,0,1/25/2002,1/25/2002,11/10/2011,State court,Legislature,n/a,Split,Republican,court drew map (not legislature),Superseded,0,,"18 D, 17 R","28 D, 37 R",,co_2000_congress_2002-01-25_2011-11-10.json,co_2000_congress_2002-01-25_2011-11-10.zip,co_2000_congress_2002-01-25_2011-11-10.pdf
CO,1,2006,2000,0,1,0,0,7,0,1/25/2002,1/25/2002,11/10/2011,State court,Legislature,n/a,Split,Republican,court drew map (not legislature),Superseded,0,,"18 D, 17 R","28 D, 37 R",,co_2000_congress_2002-01-25_2011-11-10.json,co_2000_congress_2002-01-25_2011-11-10.zip,co_2000_congress_2002-01-25_2011-11-10.pdf
CO,0,2008,2000,0,1,0,0,7,0,1/25/2002,1/25/2002,11/10/2011,State court,Legislature,n/a,Split,Republican,court drew map (not legislature),Superseded,0,,"18 D, 17 R","28 D, 37 R",,co_2000_congress_2002-01-25_2011-11-10.json,co_2000_congress_2002-01-25_2011-11-10.zip,co_2000_congress_2002-01-25_2011-11-10.pdf
CO,1,2010,2000,0,1,0,0,7,0,1/25/2002,1/25/2002,11/10/2011,State court,Legislature,n/a,Split,Republican,court drew map (not legislature),Superseded,0,,"18 D, 17 R","28 D, 37 R",,co_2000_congress_2002-01-25_2011-11-10.json,co_2000_congress_2002-01-25_2011-11-10.zip,co_2000_congress_2002-01-25_2011-11-10.pdf
CO,0,2012,2010,0,1,0,0,7,0,12/5/2011,12/5/2011,12/31/2021,State court,Legislature,n/a,Split,Democratic,Court drew map (not legislature),Active,0,,"20 D, 15 R","32 D, 33 R",https://redistricting.colorado.gov/sites/redistricting/files/Moreno_South_Shapefiles.zip,co_2010_congress_2011-12-05_2021-12-31.json,co_2010_congress_2011-12-05_2021-12-31.zip,co_2010_congress_2011-12-05_2021-12-31.pdf
CO,1,2014,2010,0,1,0,0,7,0,12/5/2011,12/5/2011,12/31/2021,State court,Legislature,n/a,Split,Democratic,Court drew map (not legislature),Active,0,,"20 D, 15 R","32 D, 33 R",https://redistricting.colorado.gov/sites/redistricting/files/Moreno_South_Shapefiles.zip,co_2010_congress_2011-12-05_2021-12-31.json,co_2010_congress_2011-12-05_2021-12-31.zip,co_2010_congress_2011-12-05_2021-12-31.pdf
CO,0,2016,2010,0,1,0,0,7,0,12/5/2011,12/5/2011,12/31/2021,State court,Legislature,n/a,Split,Democratic,Court drew map (not legislature),Active,0,,"20 D, 15 R","32 D, 33 R",https://redistricting.colorado.gov/sites/redistricting/files/Moreno_South_Shapefiles.zip,co_2010_congress_2011-12-05_2021-12-31.json,co_2010_congress_2011-12-05_2021-12-31.zip,co_2010_congress_2011-12-05_2021-12-31.pdf
CO,1,2018,2010,0,1,0,0,7,0,12/5/2011,12/5/2011,12/31/2021,State court,Legislature,n/a,Split,Democratic,Court drew map (not legislature),Active,0,,"20 D, 15 R","32 D, 33 R",https://redistricting.colorado.gov/sites/redistricting/files/Moreno_South_Shapefiles.zip,co_2010_congress_2011-12-05_2021-12-31.json,co_2010_congress_2011-12-05_2021-12-31.zip,co_2010_congress_2011-12-05_2021-12-31.pdf
CO,0,2020,2010,0,1,0,0,7,0,12/5/2011,12/5/2011,12/31/2021,State court,Legislature,n/a,Split,Democratic,Court drew map (not legislature),Active,0,,"20 D, 15 R","32 D, 33 R",https://redistricting.colorado.gov/sites/redistricting/files/Moreno_South_Shapefiles.zip,co_2010_congress_2011-12-05_2021-12-31.json,co_2010_congress_2011-12-05_2021-12-31.zip,co_2010_congress_2011-12-05_2021-12-31.pdf
CO,1,2022,2020,0,0,1,0,8,0,,11/1/2021,6/30/2031,Independent commission,Independent commission,Nonpartisan,Split,Democratic,,Active,0,,"20 D, 15 R","41 D, 24 R",https://redistricting.colorado.gov/content/2021-redistricting-maps,co_2020_congress_2021-11-01_2031-06-30.json,co_2020_congress_2021-11-01_2031-06-30.zip,co_2020_congress_2021-11-01_2031-06-30.pdf
CT,1,2002,2000,0,0,0,1,5,0,12/21/2001,12/21/2001,2/10/2012,Backup commission,Backup commission,Split,Split,Republican,,Superseded,0,"Supermajority, no veto","21D, 15 R","100 D, 51 R",,ct_2000_congress_2001-12-21_2012-02-10.json,ct_2000_congress_2001-12-21_2012-02-10.zip,ct_2000_congress_2001-12-21_2012-02-10.pdf
CT,0,2004,2000,0,0,0,1,5,0,12/21/2001,12/21/2001,2/10/2012,Backup commission,Backup commission,Split,Split,Republican,,Superseded,0,"Supermajority, no veto","21D, 15 R","100 D, 51 R",,ct_2000_congress_2001-12-21_2012-02-10.json,ct_2000_congress_2001-12-21_2012-02-10.zip,ct_2000_congress_2001-12-21_2012-02-10.pdf
CT,1,2006,2000,0,0,0,1,5,0,12/21/2001,12/21/2001,2/10/2012,Backup commission,Backup commission,Split,Split,Republican,,Superseded,0,"Supermajority, no veto","21D, 15 R","100 D, 51 R",,ct_2000_congress_2001-12-21_2012-02-10.json,ct_2000_congress_2001-12-21_2012-02-10.zip,ct_2000_congress_2001-12-21_2012-02-10.pdf
CT,0,2008,2000,0,0,0,1,5,0,12/21/2001,12/21/2001,2/10/2012,Backup commission,Backup commission,Split,Split,Republican,,Superseded,0,"Supermajority, no veto","21D, 15 R","100 D, 51 R",,ct_2000_congress_2001-12-21_2012-02-10.json,ct_2000_congress_2001-12-21_2012-02-10.zip,ct_2000_congress_2001-12-21_2012-02-10.pdf
CT,1,2010,2000,0,0,0,1,5,0,12/21/2001,12/21/2001,2/10/2012,Backup commission,Backup commission,Split,Split,Republican,,Superseded,0,"Supermajority, no veto","21D, 15 R","100 D, 51 R",,ct_2000_congress_2001-12-21_2012-02-10.json,ct_2000_congress_2001-12-21_2012-02-10.zip,ct_2000_congress_2001-12-21_2012-02-10.pdf
CT,0,2012,2010,0,1,0,0,5,0,2/10/2012,2/10/2012,12/31/2021,State court,Backup commission,n/a,Split,Democratic,Court drew map (not legislature),Active,0,"Supermajority, no veto","23 D, 13 R","100 D, 51 R",https://www.cga.ct.gov/red2011/documents/2011/Congress.zip,ct_2010_congress_2012-02-10_2021-12-31.json,ct_2010_congress_2012-02-10_2021-12-31.zip,ct_2010_congress_2012-02-10_2021-12-31.pdf
CT,1,2014,2010,0,1,0,0,5,0,2/10/2012,2/10/2012,12/31/2021,State court,Backup commission,n/a,Split,Democratic,Court drew map (not legislature),Active,0,"Supermajority, no veto","23 D, 13 R","100 D, 51 R",https://www.cga.ct.gov/red2011/documents/2011/Congress.zip,ct_2010_congress_2012-02-10_2021-12-31.json,ct_2010_congress_2012-02-10_2021-12-31.zip,ct_2010_congress_2012-02-10_2021-12-31.pdf
