"year","state_po","district","totalvotes","DEMOCRAT","OTHER","REPUBLICAN","Cycle.Year","Level","Seats","Institution","Institution.Note","Party.Control","Governor","Governor.Role","Upper.House","Upper.House.Role","Lower.House","Lower.House.Role","Court.Action","Passed","Start.Date","End.Date","Plan.Status","Drawn.by","Party.drawing","SHPsource","GeoJSON","ZIP","PDF","Election.Cutoff","Inactive","redistricting_methods","changed","legislature","partisan","independent_commission","court","mid_term","dem_margin"
2002,"AR",3,143055,0,1577,141478,2000,"Congress",4,"Legislature","Vetoproof","Democratic","R","","27 D, 8 R","","70 D, 30 R","","","2001-04-20","2001-04-20","2011-04-14","Superseded","Legislature","Democratic","","ar_2000_congress_2001-04-20_2011-04-14.json","ar_2000_congress_2001-04-20_2011-04-14.zip","ar_2000_congress_2001-04-20_2011-04-14.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,-98.8976267869001
2002,"AR",4,197537,119633,0,77904,2000,"Congress",4,"Legislature","Vetoproof","Democratic","R","","27 D, 8 R","","70 D, 30 R","","","2001-04-20","2001-04-20","2011-04-14","Superseded","Legislature","Democratic","","ar_2000_congress_2001-04-20_2011-04-14.json","ar_2000_congress_2001-04-20_2011-04-14.zip","ar_2000_congress_2001-04-20_2011-04-14.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,21.1246500655573
2002,"AZ",1,174687,79730,8990,85967,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,-3.57038589019217
2002,"AZ",2,167502,61217,5926,100359,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,-23.3680791871142
2002,"AZ",3,155751,47173,3731,104847,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,-37.0296177873657
2002,"AZ",4,66065,44517,3167,18381,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,39.561038371301
2002,"AZ",5,169812,61559,4383,103870,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,-24.9163781122653
2002,"AZ",6,156337,49355,3888,103094,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,-34.3738206566584
2002,"AZ",7,103818,61256,4088,38474,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,21.9441715309484
2002,"AZ",8,200428,67328,6170,126930,2000,"Congress",8,"Independent commission","","Split","R","no role","15 D, 15 R","no role","24 D, 36 R","no role","rejected challenge to commission map","2001-11-03","2002-03-26","2012-04-09","Superseded","Independent commission","Split","https://azredistricting.org/2001/Final/congfinal_shp.zip","az_2000_congress_2002-03-26_2012-04-09.json","az_2000_congress_2002-03-26_2012-04-09.zip","az_2000_congress_2002-03-26_2012-04-09.pdf","2002-11-01",FALSE,1,0,0,0,1,0,1,-29.7373620452232
2002,"CA",1,185216,118669,6534,60013,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,31.6689702833449
2002,"CA",2,178985,52455,8783,117747,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-36.4790345559684
2002,"CA",3,194918,67136,6050,121732,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-28.0097271673216
2002,"CA",4,228506,72860,7649,147997,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-32.8818499295423
2002,"CA",5,131578,92726,4103,34749,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,44.0628372524282
2002,"CA",6,209563,139750,7761,62052,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,37.0762014286873
2002,"CA",7,138376,97849,3943,36584,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,44.2742961207146
2002,"CA",8,160441,127684,12694,20063,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,67.078240599348
2002,"CA",9,166917,135893,5691,25333,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,66.2365127578377
2002,"CA",10,167197,126390,40807,0,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,75.5934616051723
2002,"CA",11,173956,69035,0,104921,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-20.6293545494263
2002,"CA",12,154984,105597,11006,38381,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,43.3696381561968
2002,"CA",13,121723,86495,8376,26852,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,48.9989566474701
2002,"CA",14,171678,117055,6277,48346,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,40.0220179638626
2002,"CA",15,133022,87482,4289,41251,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,34.7544015275669
2002,"CA",16,107986,72370,3434,32182,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,37.2159353990332
2002,"CA",17,149296,101632,7330,40334,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,41.0580323652342
2002,"CA",18,109593,56181,5884,47528,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,7.89557727227104
2002,"CA",19,157802,47403,4190,106209,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-37.2656873803881
2002,"CA",20,74770,47627,1515,25628,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,29.4222281663769
2002,"CA",21,124198,32584,4070,87544,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-44.2519203207781
2002,"CA",22,164285,38988,4824,120473,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-49.5997808686125
2002,"CA",23,162222,95752,3866,62604,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,20.4337266215433
2002,"CA",24,185006,58755,5666,120585,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-33.4205377122904
2002,"CA",25,124336,38674,4887,80775,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-33.8606678677133
2002,"CA",26,149530,50081,4089,95360,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,-30.2808800909516
2002,"CA",27,128811,79815,0,48996,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,23.9257516826979
2002,"CA",28,103326,73771,5629,23926,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,48.2405202949887
2002,"CA",29,121541,76036,4889,40616,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,29.1424293036918
2002,"CA",30,185593,130604,0,54989,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,40.7423771370688
2002,"CA",31,67243,54569,0,12674,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,62.3038829320524
2002,"CA",32,85079,58530,3183,23366,2000,"Congress",53,"Legislature","","Democratic","D","","26 D, 14 R","","50 D, 30 R","","rejected challenge to leg. map","2001-09-26","2001-11-30","2012-01-17","Superseded","Legislature","Democratic","https://statewidedatabase.org//pub/data/NORMALIZED/GEO/DECENNIAL2000/CNG_SHP.zip","ca_2000_congress_2001-11-30_2012-01-17.json","ca_2000_congress_2001-11-30_2012-01-17.zip","ca_2000_congress_2001-11-30_2012-01-17.pdf","2002-11-01",FALSE,2,1,1,1,0,0,1,41.3309982486865
